channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UClJ0XqAL1c9x9ajdqjkaX0A,1404,606,416,1717,1.04,0.49,0,0,75.94,187,NULL,NULL,"리뷰 & 언박싱",NULL,"패션 & 의류",NULL,"뷰티 & 메이크업"
UCLqYEpr4BldvOFIwHLdRinw,3355,NULL,NULL,3412,NULL,NULL,44.71,380,98.14,161,NULL,NULL,꿀팁,NULL,"의료 & 건강",NULL,육아
UClwBDUAxmjb9zosF_f3l0Ng,17848,7930,10773,27122,0.85,1.06,0.96,700,43.28,409,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","패션 & 의류","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류"
UCLyRxUcEIUvrG5wAS2TaE9w,26456,12109,37927,22154,1.16,1.98,52.34,5600,72.73,154,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCmr4EtRQtm7K0zHG_0e8UBw,94486,NULL,8667,96009,0.58,0.58,10.46,3400,98.26,172,NULL,NULL,튜토리얼,NULL,"의료 & 건강",NULL,"뷰티 & 메이크업"
UCnkv5si8_BQl3U8yji31uuQ,31409,25677,16640,38962,1.36,1.51,0,0,66.16,464,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","일상 & 라이프스타일"
UCo8nlDj5CMIXVQyhIZsTwWA,100589,NULL,NULL,100589,NULL,NULL,14.2,680,100,62,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,NULL
UCoACuELLbiRuUU3vCBaDJCA,32367,19966,12554,39605,1.14,1.63,2.05,300,73.25,228,NULL,"리뷰 & 언박싱",꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","의료 & 건강"
UCODfVcNdBzqsh9RkLRCxxSw,23059,NULL,23803,22960,1.74,0.03,4.32,1200,88.23,994,NULL,"리뷰 & 언박싱","리뷰 & 언박싱",음악,엔터테인먼트,엔터테인먼트,음악
UCOlBAV1kuNfVhw7frS6Xp-w,11789,NULL,25800,8081,0.48,0.48,4.83,70,79.07,43,NULL,"리뷰 & 언박싱",꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","리빙 & 인테리어"
UCowIGlELw_TOLz9F42dO1dw,14097,5900,3098,16156,0.83,0.39,3.85,120,84.23,222,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","음식 & 음료","음식 & 음료","리빙 & 인테리어","리빙 & 인테리어"
UCOYnlDs4nyLZFOt1Pfwnvlg,2050,NULL,4003,1524,0.28,1.64,100,1930,78.78,245,NULL,브이로그,튜토리얼,"피트니스 & 다이어트","의료 & 건강","의료 & 건강","피트니스 & 다이어트"
UCPbFt0ir9Yrp5lCzm-Ei7rw,29473,12607,34865,21553,1.53,1.12,1.98,800,40.5,516,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","피트니스 & 다이어트","일상 & 라이프스타일"
UCPMw_1TUgWi7HyQXEqlO8PQ,32858,23074,19002,51368,0.88,2.35,3.18,2700,42.81,640,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","일상 & 라이프스타일"
UCq8dWevtTXOrElZkaSptrvQ,25030,21777,27794,22267,1.16,1.16,0.78,1000,50,220,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","의료 & 건강"
UCqhdXqj-fa3W8yYwXGg6-zA,118566,78499,43899,135804,2.13,1.67,11.97,14000,81.24,1045,NULL,브이로그,브이로그,"일상 & 라이프스타일","일상 & 라이프스타일","취미 & 공예 & 디자인","음식 & 음료"
UCqiYDhH7fs18whd09ekhrKg,29996,12334,7292,38369,0.56,0.45,1.18,400,72.93,410,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","연애 & 결혼","의료 & 건강"
UCqrNqg3UgVoD3Sa-F_TxuSA,300725,250189,382224,63060,1.19,1.56,0,0,25.54,654,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCQUjggf6wVXEZAVKryT_GqQ,21590,36782,23137,19740,2.26,1,2.17,1100,44.18,421,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","패션 & 의류","패션 & 의류","음식 & 음료","뷰티 & 메이크업"
UCRK1Ohk5k-iY_bOfkbagEWA,6223,4628,8531,4427,1.22,1.9,5.04,600,55.56,270,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","리빙 & 인테리어","여행 & 캠핑"
UCrlUlicedicJ5mlibqC62Eg,205782,117599,161747,327683,1.35,1.26,0.53,3000,26.54,878,4,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCSed5sg92x-Zx-ws5pvC4zw,7394,21043,8637,5246,0.51,2.33,14.54,1080,36.67,210,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","리빙 & 인테리어"
UCSx-2fuyotB8WA8KytyhACg,66936,47396,53344,86817,2.06,1.25,4.83,13000,40.75,849,1,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","연애 & 결혼"
UCSyN2dMaKXD9hiuVwQyzrOw,291548,21686,347829,274716,2.03,1.39,1.09,600,76.98,278,NULL,NULL,"리뷰 & 언박싱",NULL,"패션 & 의류",NULL,"뷰티 & 메이크업"
UCSzTXeUBWhwgOSOuhfeC3xg,5284,1747,2672,5682,0.2,0.18,4.52,80,86.76,408,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"의료 & 건강"
UCTbsSRHEVLvfvSa8_q99xzA,1858,NULL,989,2156,1.65,16.24,1.59,20,75.25,303,NULL,리액션,챌린지,엔터테인먼트,엔터테인먼트,NULL,음악
UCTbvaXuNVTAjlp7uq3DkOYA,2157,NULL,2291,2134,0.75,0.83,2.5,70,85.23,562,NULL,게임,브이로그,게임,"일상 & 라이프스타일",음악,"취미 & 공예 & 디자인"
UCTKFuKkJdJ-2Xt9DntKNtfw,118711,76069,85000,118877,1.29,1.29,3.11,1000,99.51,203,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,NULL
UCTN33ntewak-rTcwKBj32Kw,971,843,838,1528,1.38,2.56,1.8,20,23.6,178,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","음식 & 음료","음식 & 음료",부동산,"뷰티 & 메이크업"
UCtpTYaQdLgjVdFgv39paPSw,12014,45361,1000,12379,0.12,0.12,71.02,652,96.79,156,NULL,ASMR,"리뷰 & 언박싱","교육 & 커리어","뷰티 & 메이크업",NULL,"패션 & 의류"
UCuJiA7LSOUtv4TTUH2TFzoQ,17770,11334,17186,18326,0.79,1.34,8.88,1900,51.22,205,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCUKmLlnlIuyci4bPVLvZXjw,300452,147494,109912,363665,0.64,1.1,1.39,2000,75.09,281,1,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","패션 & 의류"
UCun4wV8czkKcdMn_NDX8MIQ,69563,37314,62363,81374,1.15,2.09,6.41,10000,37.87,301,NULL,브이로그,브이로그,"일상 & 라이프스타일","일상 & 라이프스타일","연애 & 결혼","뷰티 & 메이크업"
UCUqh8IuIbuh5fX8R5T33jHA,14000,17960,8620,19879,1.7,0.73,2.87,900,47.78,879,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","패션 & 의류"
UCUrCIBJ3ScRAOLgPElscZqA,107882,86524,107199,110649,1.12,2,0.75,4000,19.8,687,2,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UCuYDQO-Uf_PS9GM9Ylvx2Zw,2471,2817,2681,1455,2.66,2.02,2.4,210,17.17,99,NULL,"리뷰 & 언박싱",튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","동물 (펫)"
UCV3D6OehJPsejAvhz6bDYfA,28097,25296,36041,9709,1.31,1.14,0,0,30.17,295,NULL,브이로그,브이로그,육아,육아,"뷰티 & 메이크업","뷰티 & 메이크업"
UCV5GkdIJ7UcE6-M795qmgeg,1701,NULL,657,2000,2.84,1.07,20.78,480,77.65,671,NULL,게임,토크,게임,"주식 & 투자","뉴스 & 정치","뉴스 & 정치"
UCV5Q_31yEqkV15Q-AHZWE5A,51676,21550,57904,33237,1.31,1.05,0.96,1000,24.7,417,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","연애 & 결혼","의료 & 건강"
UCV6iLaH5FZ2a6pJsbAs6meg,26820,11549,5374,36243,1.29,2.16,8.31,3100,69.47,380,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","일상 & 라이프스타일"
UCVgcaXJcSGIYrJdlVIhL-Cw,1536,1401,2339,844,0.81,2.48,0,0,53.75,253,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","음식 & 음료"
UCvGvf3Lk0Z5reU544g_SzPg,148417,26357,47802,164492,0.19,0.59,6.53,6500,86.22,617,NULL,튜토리얼,꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCVi4J5y_uvl-t2wFE7Oz7lg,14436,2496,17125,14191,1.23,1.74,23.15,2500,91.62,382,NULL,NULL,꿀팁,NULL,"의료 & 건강",NULL,"뷰티 & 메이크업"
UCvoD5jwxyoQ_V0aNun6jSyA,3021,NULL,3399,676,1.28,1.05,9.83,530,13.86,267,NULL,브이로그,NULL,"일상 & 라이프스타일",NULL,"뷰티 & 메이크업",NULL
UCVuLE0_5TKEf3Uk2_hvimEw,9409,15850,3522,14311,1.19,0.47,4.84,1500,54.56,548,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","여행 & 캠핑","의료 & 건강"
UCvzViMPSztQ6tb3TYFsxHFQ,12483,9695,15696,9013,1.21,1.56,4.18,1700,48.08,416,NULL,하울,"리뷰 & 언박싱","패션 & 의류","패션 & 의류","뷰티 & 메이크업","뷰티 & 메이크업"
UCw_VHcLeiSSXA8SSk0dbwkA,282053,133671,137042,563339,1.25,1.06,0,0,34.02,244,NULL,하울,하울,"패션 & 의류","패션 & 의류","일상 & 라이프스타일","뷰티 & 메이크업"
UCWAGyolTIz5RjfDtY1JrOXg,24831,20421,27705,19474,1,1.73,0,0,34.92,587,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","일상 & 라이프스타일"
UCWQ0Xc5W-f2oSgx_Eohi9bQ,37082,31677,47384,12387,1.88,0.3,-0.38,-1000,29.44,231,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","음식 & 음료"
UCwwfbGYkRBNAJ-qH2ttoqbg,57112,46776,59596,17225,1.21,1.75,0,0,5.86,273,NULL,브이로그,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","패션 & 의류"
UCx9XehuwNHLqWPt4U0t0LRA,128829,132207,113628,300738,1.09,1.12,1.52,6000,8.12,517,8,브이로그,토크,"피트니스 & 다이어트","피트니스 & 다이어트","연애 & 결혼","패션 & 의류"
UCXFd79l1HUumoM6spU4D1Cw,80860,4364,113130,40845,0.45,0.25,7.93,13000,44.64,280,NULL,꿀팁,꿀팁,"의료 & 건강","의료 & 건강","뷰티 & 메이크업","뷰티 & 메이크업"
UCXPeJufdBsud4FlMtPwoNfw,24470,46964,36417,6100,3.85,3.51,0,0,39.41,977,NULL,"뉴스 & 정치","뉴스 & 정치","뉴스 & 정치","뉴스 & 정치",코미디,코미디
UCxQFCdMag6smOQVAObGBIgA,8467,23171,2336,10075,1.16,0.35,0.32,20,79.22,385,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","일상 & 라이프스타일"
UCxtUtbmL79P4nvskhfD9kmA,3661,45263,3491,3746,0.23,0.22,11.69,960,66.41,515,NULL,ASMR,ASMR,음악,음악,ASMR,"음식 & 음료"
UCzB4SMiJegcyFlnFvosUVcg,4916,4023,4798,5023,1.34,2,4.95,500,52.44,82,NULL,"리뷰 & 언박싱",튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업",NULL,NULL
UCZlTEEKh3ounqVfpf21WMeQ,97866,68043,98086,97207,1.43,1.12,0.45,2000,25,796,4,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UCzpQOktfPxvYeq8OfRtAMYA,101255,76218,59123,128717,1.48,2.48,14.5,19000,60.54,408,NULL,튜토리얼,꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
